#Gradient,%white,%red,%blue,%sonarDifference,false/red/blue/arm
6.0000,0.5370,0.0185,0.1574,-1.0000,b
8.0000,0.4583,0.0556,0.0694,-1.0000,a
10.6667,0.1771,0.1042,0.2188,-1.0000,r
5.3333,0.3750,0.0781,0.0990,-1.0000,r
6.0000,0.9167,0.0000,0.0208,-1.0000,a
3.8000,0.6263,0.0026,0.1289,-1.0000,b
6.0000,0.4062,0.0938,0.0312,-1.0000,a
6.0000,0.0370,0.0556,0.0370,-1.0000,f
2.4444,0.0253,0.4646,0.0202,-1.0000,f
3.4444,0.2509,0.0968,0.1649,-1.0000,r
6.0000,0.4074,0.0185,0.2222,-1.0000,a
6.3333,0.4912,0.1930,0.0351,-1.0000,r
2.7143,0.0977,0.1203,0.0075,-1.0000,f
4.7500,0.8816,0.0000,0.0132,-1.0000,f
0.4444,0.2346,0.1373,0.0602,-1.0000,f
1.8750,0.1833,0.0583,0.1083,-1.0000,f
5.2500,0.5833,0.0000,0.0357,-1.0000,a
2.1333,0.5563,0.1292,0.0479,-1.0000,r
3.1667,0.0702,0.0702,0.0088,-1.0000,f
5.0000,0.0625,0.0250,0.0000,-1.0000,f
3.0000,0.4630,0.1296,0.0000,-1.0000,r
3.3333,0.0917,0.1250,0.0083,-1.0000,f
6.6667,0.0667,0.0667,0.0000,-1.0000,f
6.3333,0.8421,0.0000,0.0526,-1.0000,f
5.4286,0.4812,0.0038,0.1429,-1.0000,b
6.1667,0.3243,0.0090,0.2432,-1.0000,b
6.1667,0.2117,0.0270,0.1532,-1.0000,b
6.6667,0.5333,0.0167,0.0000,-1.0000,a
2.0625,0.5682,0.1117,0.0379,-1.0000,r
2.1818,0.7197,0.0000,0.0644,-1.0000,a
2.5333,0.3053,0.0228,0.1895,-1.0000,b
3.8000,0.3789,0.0211,0.0316,-1.0000,a
1.9375,0.5222,0.1351,0.0464,-1.0000,r
4.2500,0.0882,0.0294,0.0147,-1.0000,f
4.2500,0.1176,0.0147,0.0000,-1.0000,f
1.6000,0.3500,0.1062,0.0125,-1.0000,r
5.6667,0.1569,0.0980,0.0000,-1.0000,f
5.6667,0.2745,0.0196,0.0196,-1.0000,f
2.6000,0.1231,0.4308,0.0154,-1.0000,f
1.8947,0.4444,0.0015,0.1111,-1.0000,f
3.5000,0.2429,0.0229,0.1943,-1.0000,b
1.5000,0.4683,0.1100,0.0633,-1.0000,r
2.2857,0.4107,0.1429,0.0179,-1.0000,r
2.8333,0.0686,0.1373,0.0000,-1.0000,f
4.2500,0.7059,0.0441,0.0588,-1.0000,f
4.5000,0.7778,0.0139,0.0417,-1.0000,f
5.5000,0.8182,0.0000,0.0341,-1.0000,a
9.0000,0.4792,0.0000,0.1528,-1.0000,b
3.5000,0.3229,0.0171,0.1971,-1.0000,b
5.5000,0.4886,0.0227,0.0000,-1.0000,a
2.6154,0.5679,0.1267,0.0543,-1.0000,r
2.2941,0.3379,0.1026,0.0875,0.0163,b
1.4500,0.4948,0.1034,0.0483,0.2406,r
3.8333,0.0217,0.0145,0.0000,0.4142,f
3.2000,0.2375,0.0625,0.0375,0.5813,f
1.2632,0.0899,0.0636,0.0329,0.3811,f
6.3333,0.0351,0.1404,0.0351,0.5246,f
1.0625,0.3116,0.0726,0.1103,0.1206,f
5.2000,0.0846,0.0154,0.0000,-1.0000,f
2.7273,0.4758,0.0697,0.0273,-1.0000,r
2.6923,0.4637,0.0022,0.1714,0.0873,b
3.5000,0.0000,0.4127,0.0159,0.4706,f
5.3333,0.6042,0.0573,0.0677,-1.0000,r
2.1111,0.3626,0.1111,0.0175,0.5082,r
2.7143,0.6617,0.0677,0.0376,0.5235,f
4.4444,0.5778,0.0000,0.0778,0.0484,b
1.5000,0.1497,0.3027,0.1156,0.4577,f
4.4286,0.6037,0.0783,0.0369,-1.0000,r
3.6000,0.4556,0.1778,0.0111,0.5467,r
4.5000,0.2222,0.0139,0.0000,0.5522,f
2.0000,0.7469,0.0000,0.0617,0.5350,f
5.1429,0.5476,0.0079,0.1190,0.0726,f
7.6667,0.3623,0.0000,0.2754,0.4214,f
1.6364,0.1010,0.4192,0.0556,0.5474,f
4.4286,0.5760,0.0737,0.0507,0.1945,r
1.6364,0.3333,0.0960,0.0202,0.5337,r
3.0000,0.0667,0.1067,0.0000,0.6067,f
0.9231,0.2714,0.0855,0.1011,0.0635,b
15.0000,0.4000,0.0148,0.0519,-1.0000,f
9.0000,0.2578,0.0356,0.0267,-1.0000,f
13.6667,0.1951,0.0488,0.0325,-1.0000,f
8.2000,0.7037,0.0195,0.0366,-1.0000,b
15.5000,0.3468,0.0484,0.1855,-1.0000,f
14.3333,0.1628,0.2016,0.0078,-1.0000,f
0.8462,0.6294,0.0651,0.0127,-1.0000,f
3.8333,0.4493,0.1377,0.0362,-1.0000,r
8.0000,0.8194,0.0000,0.0278,-1.0000,f
4.5000,0.6281,0.0136,0.0964,-1.0000,b
5.4167,0.6244,0.0179,0.0705,-1.0000,b
4.5000,0.0011,0.0102,0.0011,-1.0000,f
3.6923,0.0000,0.0000,0.0080,-1.0000,f
6.0000,0.8021,0.0000,0.0312,-1.0000,f
5.1667,0.6237,0.0202,0.0860,-1.0000,b
0.6136,0.5530,0.0589,0.0202,-1.0000,f
10.0000,0.2889,0.1444,0.0556,-1.0000,f
5.3333,0.5833,0.0365,0.0807,-1.0000,b
